Strakonice,Stožice,"PRO OBEC STOŽICE",2,Eliška,Čížková,Ing.,34,účetní,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"PRO OBEC STOŽICE",3,Adam,Krejčí,,48,dělník,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"PRO OBEC STOŽICE",4,Miroslav,Reidinger,,39,"zedník OSVČ","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"PRO OBEC STOŽICE",5,Filip,Kellner,,38,"laboratorní technik","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"PRO OBEC STOŽICE",6,Tomislav,Hajný,,37,obkladač,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"PRO OBEC STOŽICE",7,Martin,Vojtík,,46,OSVČ,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"PRO OBEC STOŽICE",8,Jiří,Turčan,,44,pokrývač,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"PRO OBEC STOŽICE",9,Erika,Šlehoferová,,40,dělnice,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE III.",1,Martina,Lišková,,56,prodavačka,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE III.",2,Tomáš,Kasal,,31,truhlář,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE III.",3,Radek,Vlček,,48,dělník,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE III.",4,Jana,Vlčková,,48,dělnice,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE III.",5,Pavla,Kašparová,,43,dělnice,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE III.",6,Martin,Novák,,44,podnikatel,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE III.",7,Lucie,Schlehoferová,,38,"technicko hospodářský pracovník","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE III.",8,Zdeněk,Lechner,,69,důchodce,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE III.",9,Petra,Lišková,,31,prodavačka,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE II.",1,Marie,Šíslová,Ing.,53,ekonomka,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE II.",2,Jana,Obročníková,,70,důchodce,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE II.",3,Eliška,Šíslová,Bc.,25,referentka,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE II.",4,Martina,Vlčková,Bc.,35,"zdravotní sestra","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE II.",5,Zdeněk,Vlček,,38,dělník,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE II.",6,Iveta,Vršecká,,47,"technicko hospodářská pracovnice","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE II.",7,Pavel,Vaněček,,58,dělník,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE II.",8,Jaroslava,"Kodádková Pivoňková",,48,dělnice,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE II.",9,Petr,Dolejší,,41,dělník,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE I.",1,František,Marek,,79,podnikatel,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE I.",2,Jan,Vitáček,,44,"návrhář interiérů","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE I.",3,Jiří,Novák,,61,podnikatel,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE I.",4,Petr,Vršecký,,45,dělník,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE I.",5,Petr,Smíšek,,46,dělník,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE I.",6,Tomáš,Mráz,,42,automechanik,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE I.",7,Luboš,Kašpar,,48,traktorista,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE I.",8,David,Pivoňka,,48,dělník,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Stožice,"Sdružení nezávislých kandidátů PRO STOŽICE I.",9,Antonín,Honsa,,64,důchodce,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Krajníčko,"Jaroslav Kubát",1,Jaroslav,Kubát,,30,seřizovač,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Krajníčko,"Jiří Martínek",1,Jiří,Martínek,,52,"zemědělský technik","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Krajníčko,"Milan Weinar",1,Milan,Weinar,,75,důchodce,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Krajníčko,"Daniel Šoltys",1,Daniel,Šoltys,,53,"soukromý zemědělec","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Krajníčko,"Hana Krsová",1,Hana,Krsová,,55,účetní,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Krajníčko,"Helena Fundová",1,Helena,Fundová,,48,dělník,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Krajníčko,"Ing. Václav Pícha",1,Václav,Pícha,Ing.,51,"obchodní zástupce","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Krajníčko,"Vladislav Pícha",1,Vladislav,Pícha,,47,"státní zaměstnanec","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Krajníčko,"Václav Přib",1,Václav,Přib,,43,truhlář,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Hornosín,HORNOSÍNŠTÍ,1,Vendula,Ježková,Mgr.,30,lékárnice,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Hornosín,HORNOSÍNŠTÍ,2,František,Vrbský,Ing.,78,důchodce,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Hornosín,HORNOSÍNŠTÍ,3,Adam,Ježek,Ing.,27,konstruktér,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Hornosín,HORNOSÍNŠTÍ,4,Josef,Hrdina,,63,důchodce,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Hornosín,HORNOSÍNŠTÍ,5,Libor,Kumhera,,48,krmič,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Hornosín,HORNOSÍNŠTÍ,6,Vlastimil,Ježek,,54,OSVČ,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Hornosín,HORNOSÍNŠTÍ,7,Jana,Čtveráková,,46,kuchařka,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Hornosín,HORNOSÍNŠTÍ,8,Jiří,Pobuda,,39,"vedoucí expedice","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Měkynec,"Tomáš Nůsek",1,Tomáš,Nůsek,,22,mechanik,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Měkynec,"Miroslav Trojan",1,Miroslav,Trojan,,51,OSVČ,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Měkynec,"Adéla Chvostová",1,Adéla,Chvostová,,19,studentka,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Měkynec,"Lenka Petrášková",1,Lenka,Petrášková,,30,"rodičovská dovolená","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Měkynec,"Martin Šmída",1,Martin,Šmída,,46,školník,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Měkynec,"Jan Nůsek",1,Jan,Nůsek,,66,důchodce,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Měkynec,"Luboš Chvosta",1,Luboš,Chvosta,,51,OSVČ,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Radějovice,"RADĚJOVICE 2022 - SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ",1,Václav,Myslivec,,43,"ředitel - Jatka Vodňany a.s.","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Radějovice,"RADĚJOVICE 2022 - SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ",2,Tomáš,Michalec,,35,"servisní technik","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Radějovice,"RADĚJOVICE 2022 - SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ",3,Gabriela,Malcová,,40,OSVČ,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Radějovice,"RADĚJOVICE 2022 - SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ",4,Václav,Malec,,42,elektrikář,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Radějovice,"RADĚJOVICE 2022 - SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ",5,Helena,Šretrová,,43,"rodičovská dovolená","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Radějovice,"RADĚJOVICE 2022 - SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ",6,Václav,Pašek,,56,OSVČ,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Mačkov,"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ II.",1,Jindřich,Bláha,,58,"vedoucí provozu","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Mačkov,"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ II.",2,Jakub,Sklenář,,24,"technik komunikačních sítí","Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Mačkov,"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ II.",3,Jiří,Kubát,,41,dělník,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Mačkov,"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ II.",4,Jiří,Kolář,,41,OSVČ,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Mačkov,"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ II.",5,Zuzana,Túčková,Mgr.,32,personalistka,"Nezávislý kandidát","Bez politické příslušnosti"
Strakonice,Mačkov,"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ II.",6,Petra,Zoubková,,41,THP,"Nezávislý kandidát","Bez politické příslušnosti"
